student_id,term,campus,modality,discipline,discipline_area,workload_hours,attendance_pct,exam1_grade,exam2_grade,project_grade,participation_grade,final_grade,letter_grade,status,approval,fail_reason,age_range,employment_status
S0003,2025.1,Campus A,Online,Statistics for Data,Analytics,32,78.0,73.5,62.4,91.7,80.3,78.7,C,Aprovado,1,,30-34,Meio período
S0004,2024.1,Campus A,Online,Data Engineering II,Engineering,48,79.2,86.3,65.6,79.5,72.4,77.0,C,Aprovado,1,,25-29,Meio período
S0004,2025.1,Campus A,Presencial,Big Data & Spark,Engineering,64,79.3,86.5,79.5,100.0,79.8,89.5,B,Aprovado,1,,25-29,Meio período
S0004,2024.1,Campus A,Online,Streaming Systems,Engineering,32,75.4,69.4,70.5,81.4,73.2,74.8,C,Aprovado,1,,25-29,Meio período
S0004,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,94.8,82.5,76.1,83.3,100.0,83.0,B,Aprovado,1,,25-29,Meio período
S0004,2024.2,Campus A,Híbrido,Feature Engineering,ML/AI,32,92.6,73.6,84.5,86.7,87.8,83.0,B,Aprovado,1,,25-29,Meio período
S0004,2025.1,Campus A,Online,Statistics for Data,Analytics,64,88.8,70.3,81.5,87.4,88.9,81.8,B,Aprovado,1,,25-29,Meio período
S0005,2024.1,Campus C,Presencial,Data Engineering II,Engineering,32,82.1,76.0,100.0,59.3,85.6,76.3,C,Trancado,0,withdraw,30-34,Meio período
S0005,2024.1,Campus C,Online,Big Data & Spark,Engineering,32,58.9,72.8,60.1,67.8,62.3,66.6,D,Reprovado,0,low_attendance,30-34,Meio período
S0005,2024.1,Campus C,Presencial,Streaming Systems,Engineering,48,100.0,78.6,47.7,75.9,96.7,71.6,C,Aprovado,1,,30-34,Meio período
S0005,2024.1,Campus C,Presencial,MLOps Foundations,ML/AI,64,95.5,80.1,85.4,65.0,93.9,76.7,C,Aprovado,1,,30-34,Meio período
S0005,2024.1,Campus C,Presencial,Feature Engineering,ML/AI,48,74.4,84.0,99.5,86.3,66.8,87.1,B,Reprovado,0,low_attendance,30-34,Meio período
S0005,2025.1,Campus C,Presencial,Statistics for Data,Analytics,32,82.2,75.3,80.3,63.7,81.9,72.6,C,Aprovado,1,,30-34,Meio período
S0006,2024.2,Campus A,Online,Data Engineering II,Engineering,48,73.7,69.4,76.7,100.0,75.7,84.1,B,Reprovado,0,low_attendance,25-29,Tempo integral
S0006,2024.1,Campus A,Online,Big Data & Spark,Engineering,32,84.1,79.8,74.5,56.0,90.5,70.0,C,Aprovado,1,,25-29,Tempo integral
S0006,2024.2,Campus A,Presencial,Streaming Systems,Engineering,64,91.4,69.7,66.2,76.1,95.8,74.0,C,Trancado,0,withdraw,25-29,Tempo integral
S0006,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,82.4,85.4,92.4,80.6,85.3,85.2,B,Aprovado,1,,25-29,Tempo integral
S0006,2024.1,Campus A,Presencial,Feature Engineering,ML/AI,48,69.1,58.4,66.0,87.6,76.9,73.8,C,Reprovado,0,low_attendance,25-29,Tempo integral
S0006,2024.1,Campus A,Híbrido,Statistics for Data,Analytics,48,77.6,63.7,82.4,70.6,81.9,73.0,C,Trancado,0,withdraw,25-29,Tempo integral
S0007,2025.1,Campus A,Híbrido,Data Engineering II,Engineering,48,73.8,100.0,63.9,65.9,79.6,75.3,C,Reprovado,0,low_attendance,40-44,Tempo integral
S0007,2025.1,Campus A,Presencial,Big Data & Spark,Engineering,32,94.9,72.9,64.9,84.8,94.2,77.8,C,Aprovado,1,,40-44,Tempo integral
S0007,2024.1,Campus A,Presencial,Streaming Systems,Engineering,48,78.8,73.9,74.9,68.9,76.4,72.4,C,Aprovado,1,,40-44,Tempo integral
S0007,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,89.3,65.4,72.4,80.1,96.7,76.2,C,Aprovado,1,,40-44,Tempo integral
S0007,2025.1,Campus A,Presencial,Feature Engineering,ML/AI,32,86.8,69.5,77.9,67.7,89.4,72.9,C,Aprovado,1,,40-44,Tempo integral
S0007,2024.2,Campus A,Presencial,Statistics for Data,Analytics,64,100.0,72.7,71.2,74.0,96.1,75.2,C,Aprovado,1,,40-44,Tempo integral
S0008,2024.2,Campus B,Online,Data Engineering II,Engineering,48,73.9,86.7,58.6,85.8,73.1,78.0,C,Reprovado,0,low_attendance,30-34,Meio período
S0008,2024.2,Campus B,Presencial,Big Data & Spark,Engineering,64,73.4,49.0,77.3,80.7,78.3,71.7,C,Reprovado,0,low_attendance,30-34,Meio período
S0008,2025.1,Campus B,Online,Streaming Systems,Engineering,64,82.4,88.7,80.4,72.7,82.1,79.6,C,Aprovado,1,,30-34,Meio período
S0008,2025.1,Campus B,Presencial,MLOps Foundations,ML/AI,48,84.2,78.1,74.0,79.8,85.6,78.5,C,Aprovado,1,,30-34,Meio período
S0008,2024.2,Campus B,Presencial,Feature Engineering,ML/AI,32,89.6,76.6,92.2,79.1,88.0,82.7,B,Aprovado,1,,30-34,Meio período
S0008,2025.1,Campus B,Online,Statistics for Data,Analytics,32,59.0,82.7,89.5,64.7,57.5,74.7,C,Reprovado,0,low_attendance,30-34,Meio período
S0009,2025.1,Campus B,Presencial,Data Engineering II,Engineering,48,84.5,86.7,83.7,91.7,79.7,87.2,B,Aprovado,1,,30-34,Meio período
S0009,2024.1,Campus B,Presencial,Big Data & Spark,Engineering,48,93.9,57.8,48.5,72.3,97.4,65.2,D,Reprovado,0,low_grade,30-34,Meio período
S0009,2025.1,Campus B,Presencial,Streaming Systems,Engineering,48,70.0,70.3,76.6,73.7,59.6,72.2,C,Reprovado,0,low_attendance,30-34,Meio período
S0009,2024.1,Campus B,Presencial,MLOps Foundations,ML/AI,32,86.1,78.4,63.7,71.9,80.8,72.4,C,Aprovado,1,,30-34,Meio período
S0009,2024.2,Campus B,Online,Feature Engineering,ML/AI,32,69.7,63.5,72.7,65.6,66.9,67.0,D,Reprovado,0,low_attendance,30-34,Meio período
S0009,2024.2,Campus B,Presencial,Statistics for Data,Analytics,48,75.0,61.6,73.6,71.9,73.9,69.9,D,Reprovado,0,low_grade,30-34,Meio período
S0010,2024.2,Campus A,Presencial,Data Engineering II,Engineering,48,80.7,48.7,86.2,68.1,80.9,69.1,D,Reprovado,0,low_grade,30-34,Tempo integral
S0010,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,48,96.7,62.3,62.1,73.1,96.4,70.0,C,Aprovado,1,,30-34,Tempo integral
S0010,2024.1,Campus A,Presencial,Streaming Systems,Engineering,32,89.2,81.9,84.7,80.5,84.8,82.3,B,Aprovado,1,,30-34,Tempo integral
S0010,2024.2,Campus A,Online,MLOps Foundations,ML/AI,32,75.0,69.3,67.0,91.0,68.4,77.3,C,Reprovado,0,low_attendance,30-34,Tempo integral
S0010,2024.2,Campus A,Híbrido,Feature Engineering,ML/AI,48,78.4,70.1,68.5,69.7,76.5,70.2,C,Aprovado,1,,30-34,Tempo integral
S0010,2024.1,Campus A,Híbrido,Statistics for Data,Analytics,32,77.9,40.0,79.2,76.9,77.4,68.3,D,Reprovado,0,low_grade,30-34,Tempo integral
S0011,2024.2,Campus A,Híbrido,Data Engineering II,Engineering,48,65.3,81.5,68.0,83.7,61.5,77.0,C,Reprovado,0,low_attendance,35-39,Tempo integral
S0011,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,48,69.0,79.7,53.1,74.3,62.9,69.2,D,Reprovado,0,low_attendance,35-39,Tempo integral
S0011,2024.1,Campus A,Presencial,Streaming Systems,Engineering,32,97.1,64.1,82.0,62.7,99.7,71.6,C,Aprovado,1,,35-39,Tempo integral
S0011,2024.2,Campus A,Presencial,MLOps Foundations,ML/AI,64,100.0,78.5,67.8,77.9,99.2,77.6,C,Aprovado,1,,35-39,Tempo integral
S0011,2025.1,Campus A,Presencial,Feature Engineering,ML/AI,48,82.1,67.8,78.7,71.8,83.6,73.7,C,Aprovado,1,,35-39,Tempo integral
S0011,2025.1,Campus A,Presencial,Statistics for Data,Analytics,48,100.0,45.5,58.9,54.3,98.2,57.7,F,Reprovado,0,low_grade,35-39,Tempo integral
S0012,2024.2,Campus C,Presencial,Data Engineering II,Engineering,64,78.2,78.4,78.0,83.7,73.8,80.0,C,Aprovado,1,,30-34,Tempo integral
S0012,2024.2,Campus C,Presencial,Big Data & Spark,Engineering,64,83.0,66.2,77.8,64.1,78.9,69.5,D,Reprovado,0,low_grade,30-34,Tempo integral
S0012,2024.1,Campus C,Presencial,Streaming Systems,Engineering,48,83.5,80.9,87.4,69.6,81.4,78.1,C,Aprovado,1,,30-34,Tempo integral
S0012,2025.1,Campus C,Online,MLOps Foundations,ML/AI,48,69.5,54.4,78.4,66.4,66.9,66.5,D,Reprovado,0,low_attendance,30-34,Tempo integral
S0012,2024.2,Campus C,Presencial,Feature Engineering,ML/AI,32,88.8,100.0,71.6,76.5,97.7,83.3,B,Aprovado,1,,30-34,Tempo integral
S0012,2025.1,Campus C,Presencial,Statistics for Data,Analytics,48,92.9,53.9,93.6,74.8,93.4,76.2,C,Aprovado,1,,30-34,Tempo integral
S0013,2025.1,Campus C,Presencial,Data Engineering II,Engineering,64,87.6,88.1,55.7,93.3,86.8,82.0,B,Aprovado,1,,25-29,Tempo integral
S0013,2024.1,Campus C,Presencial,Big Data & Spark,Engineering,32,82.7,81.9,73.9,62.1,76.3,71.4,C,Aprovado,1,,25-29,Tempo integral
S0013,2024.2,Campus C,Presencial,Streaming Systems,Engineering,32,84.5,67.7,39.6,73.5,83.4,64.6,D,Reprovado,0,low_grade,25-29,Tempo integral
S0013,2024.2,Campus C,Presencial,MLOps Foundations,ML/AI,48,94.0,70.8,61.7,100.0,94.3,82.5,B,Aprovado,1,,25-29,Tempo integral
S0013,2025.1,Campus C,Presencial,Feature Engineering,ML/AI,64,81.3,66.4,73.6,70.6,77.7,71.0,C,Aprovado,1,,25-29,Tempo integral
S0013,2024.2,Campus C,Presencial,Statistics for Data,Analytics,32,88.1,85.0,46.1,69.6,86.2,69.2,D,Reprovado,0,low_grade,25-29,Tempo integral
S0014,2024.2,Campus A,Presencial,Data Engineering II,Engineering,32,91.9,65.7,74.9,78.3,88.3,75.3,C,Aprovado,1,,40-44,Tempo integral
S0014,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,48,79.7,78.0,60.4,71.5,78.6,71.0,C,Aprovado,1,,40-44,Tempo integral
S0014,2025.1,Campus A,Híbrido,Streaming Systems,Engineering,48,98.5,58.9,64.1,64.6,90.1,65.6,D,Reprovado,0,low_grade,40-44,Tempo integral
S0014,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,100.0,89.8,54.0,84.6,92.9,79.1,C,Aprovado,1,,40-44,Tempo integral
S0014,2024.2,Campus A,Presencial,Feature Engineering,ML/AI,32,96.7,72.6,70.0,89.5,100.0,81.4,B,Aprovado,1,,40-44,Tempo integral
S0014,2024.1,Campus A,Online,Statistics for Data,Analytics,64,81.7,54.5,72.2,56.7,84.5,62.8,D,Reprovado,0,low_grade,40-44,Tempo integral
S0015,2024.1,Campus A,Presencial,Data Engineering II,Engineering,64,89.6,86.8,96.0,88.1,80.4,89.0,B,Aprovado,1,,30-34,Meio período
S0015,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,48,74.2,74.2,63.9,68.9,67.2,68.8,D,Reprovado,0,low_attendance,30-34,Meio período
S0015,2024.2,Campus A,Online,Streaming Systems,Engineering,32,65.5,100.0,77.9,75.8,61.2,80.9,B,Trancado,0,withdraw,30-34,Meio período
S0015,2024.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,94.0,100.0,73.8,88.5,90.5,87.9,B,Aprovado,1,,30-34,Meio período
S0015,2024.1,Campus A,Online,Feature Engineering,ML/AI,32,68.7,94.7,82.5,70.4,71.9,79.6,C,Reprovado,0,low_attendance,30-34,Meio período
S0015,2024.2,Campus A,Presencial,Statistics for Data,Analytics,32,96.7,69.1,78.4,74.8,90.0,75.8,C,Aprovado,1,,30-34,Meio período
S0016,2024.2,Campus B,Online,Data Engineering II,Engineering,32,59.7,74.3,85.8,79.3,62.0,78.0,C,Reprovado,0,low_attendance,30-34,Meio período
S0016,2025.1,Campus B,Presencial,Big Data & Spark,Engineering,64,84.9,66.4,83.6,60.9,87.4,70.6,C,Aprovado,1,,30-34,Meio período
S0016,2024.1,Campus B,Online,Streaming Systems,Engineering,32,72.4,72.6,77.0,54.7,69.1,66.2,D,Reprovado,0,low_attendance,30-34,Meio período
S0016,2025.1,Campus B,Online,MLOps Foundations,ML/AI,32,85.4,82.6,75.6,89.2,82.0,83.4,B,Aprovado,1,,30-34,Meio período
S0016,2024.2,Campus B,Online,Feature Engineering,ML/AI,64,58.2,51.9,63.5,83.9,56.7,68.1,D,Reprovado,0,low_attendance,30-34,Meio período
S0016,2024.1,Campus B,Presencial,Statistics for Data,Analytics,32,79.0,46.8,56.5,62.3,82.4,59.0,F,Reprovado,0,low_grade,30-34,Meio período
S0017,2025.1,Campus A,Híbrido,Data Engineering II,Engineering,32,70.8,79.6,78.0,82.9,72.2,79.8,C,Reprovado,0,low_attendance,35-39,Tempo integral
S0017,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,32,100.0,64.4,87.3,89.2,97.1,83.3,B,Aprovado,1,,35-39,Tempo integral
S0017,2024.1,Campus A,Online,Streaming Systems,Engineering,32,77.0,52.8,90.6,92.0,74.0,80.0,B,Aprovado,1,,35-39,Tempo integral
S0017,2025.1,Campus A,Híbrido,MLOps Foundations,ML/AI,48,78.1,81.9,99.1,75.2,74.1,82.8,B,Aprovado,1,,35-39,Tempo integral
S0017,2024.1,Campus A,Online,Feature Engineering,ML/AI,32,69.8,75.7,73.8,87.9,82.5,80.8,B,Reprovado,0,low_attendance,35-39,Tempo integral
S0017,2024.1,Campus A,Online,Statistics for Data,Analytics,48,69.7,77.0,66.7,78.9,75.2,75.0,C,Reprovado,0,low_attendance,35-39,Tempo integral
S0018,2024.2,Campus C,Online,Data Engineering II,Engineering,48,68.5,80.8,71.6,69.7,65.1,72.5,C,Reprovado,0,low_attendance,35-39,Meio período
S0018,2025.1,Campus C,Presencial,Big Data & Spark,Engineering,32,91.9,81.8,55.1,75.2,92.4,73.6,C,Aprovado,1,,35-39,Meio período
S0018,2024.2,Campus C,Presencial,Streaming Systems,Engineering,48,89.7,66.2,78.5,74.5,95.7,75.5,C,Aprovado,1,,35-39,Meio período
S0018,2024.1,Campus C,Híbrido,MLOps Foundations,ML/AI,48,67.6,71.8,70.1,73.4,68.5,71.7,C,Reprovado,0,low_attendance,35-39,Meio período
S0018,2024.1,Campus C,Online,Feature Engineering,ML/AI,32,78.7,66.7,72.4,55.6,82.3,65.3,D,Reprovado,0,low_grade,35-39,Meio período
S0018,2024.1,Campus C,Híbrido,Statistics for Data,Analytics,32,92.8,55.2,68.9,79.5,97.7,72.6,C,Aprovado,1,,35-39,Meio período
S0019,2024.1,Campus B,Híbrido,Data Engineering II,Engineering,32,88.5,73.8,98.2,67.3,80.9,78.0,C,Aprovado,1,,20-24,Meio período
S0019,2024.2,Campus B,Híbrido,Big Data & Spark,Engineering,32,75.1,57.0,90.3,74.2,80.7,74.6,C,Aprovado,1,,20-24,Meio período
S0019,2024.1,Campus B,Híbrido,Streaming Systems,Engineering,48,87.7,76.4,79.7,87.3,88.7,82.8,B,Aprovado,1,,20-24,Meio período
S0019,2024.2,Campus B,Presencial,MLOps Foundations,ML/AI,32,94.1,65.9,96.6,76.6,86.9,80.0,C,Aprovado,1,,20-24,Meio período
S0019,2024.2,Campus B,Presencial,Feature Engineering,ML/AI,48,82.5,50.3,68.6,51.8,74.6,57.9,F,Reprovado,0,low_grade,20-24,Meio período
S0019,2025.1,Campus B,Online,Statistics for Data,Analytics,32,82.6,58.4,70.4,73.0,76.8,69.1,D,Reprovado,0,low_grade,20-24,Meio período
S0020,2024.1,Campus A,Presencial,Data Engineering II,Engineering,32,84.3,74.0,73.9,70.7,85.3,73.8,C,Aprovado,1,,30-34,Tempo integral
S0020,2025.1,Campus A,Presencial,Big Data & Spark,Engineering,32,76.4,75.3,63.4,93.1,78.2,79.7,C,Aprovado,1,,30-34,Tempo integral
S0020,2025.1,Campus A,Online,Streaming Systems,Engineering,32,76.1,82.4,69.6,87.2,78.2,80.7,B,Aprovado,1,,30-34,Tempo integral
S0020,2024.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,100.0,61.6,68.6,83.2,100.0,75.8,C,Aprovado,1,,30-34,Tempo integral
S0020,2024.2,Campus A,Online,Feature Engineering,ML/AI,32,63.7,79.8,68.0,78.1,69.2,75.1,C,Reprovado,0,low_attendance,30-34,Tempo integral
S0020,2025.1,Campus A,Presencial,Statistics for Data,Analytics,32,85.9,51.3,95.0,71.9,94.8,74.8,C,Aprovado,1,,30-34,Tempo integral
S0021,2024.2,Campus A,Híbrido,Data Engineering II,Engineering,32,96.8,91.6,68.5,82.0,99.2,82.7,B,Aprovado,1,,40-44,Tempo integral
S0021,2024.1,Campus A,Híbrido,Big Data & Spark,Engineering,32,84.6,71.7,87.1,80.4,82.8,80.1,B,Aprovado,1,,40-44,Tempo integral
S0021,2024.2,Campus A,Presencial,Streaming Systems,Engineering,48,83.4,57.6,56.5,85.6,81.0,70.9,C,Aprovado,1,,40-44,Tempo integral
S0021,2024.2,Campus A,Presencial,MLOps Foundations,ML/AI,32,90.5,74.9,59.6,87.0,88.0,77.2,C,Aprovado,1,,40-44,Tempo integral
S0021,2024.1,Campus A,Online,Feature Engineering,ML/AI,48,71.5,68.8,70.1,96.8,73.4,80.8,B,Reprovado,0,low_attendance,40-44,Tempo integral
S0021,2025.1,Campus A,Presencial,Statistics for Data,Analytics,32,91.3,69.1,70.6,80.3,91.6,76.2,C,Trancado,0,withdraw,40-44,Tempo integral
S0022,2024.1,Campus C,Presencial,Data Engineering II,Engineering,32,88.4,80.4,74.4,88.9,77.9,82.0,B,Aprovado,1,,20-24,Tempo integral
S0022,2024.1,Campus C,Presencial,Big Data & Spark,Engineering,32,100.0,60.7,80.7,77.8,96.7,76.1,C,Aprovado,1,,20-24,Tempo integral
S0022,2025.1,Campus C,Presencial,Streaming Systems,Engineering,48,86.7,95.0,83.6,77.1,84.4,83.9,B,Aprovado,1,,20-24,Tempo integral
S0022,2024.2,Campus C,Online,MLOps Foundations,ML/AI,32,75.7,60.9,94.6,69.3,77.2,74.3,C,Aprovado,1,,20-24,Tempo integral
S0022,2025.1,Campus C,Presencial,Feature Engineering,ML/AI,64,97.1,70.0,78.1,90.4,99.9,83.1,B,Aprovado,1,,20-24,Tempo integral
S0022,2024.1,Campus C,Online,Statistics for Data,Analytics,48,78.6,78.7,78.6,85.9,77.2,81.4,B,Aprovado,1,,20-24,Tempo integral
S0023,2024.2,Campus A,Presencial,Data Engineering II,Engineering,48,77.1,49.2,68.3,64.8,85.3,63.8,D,Reprovado,0,low_grade,30-34,Tempo integral
S0023,2024.2,Campus A,Presencial,Big Data & Spark,Engineering,64,97.1,42.0,100.0,61.1,88.9,68.8,D,Reprovado,0,low_grade,30-34,Tempo integral
S0023,2024.2,Campus A,Online,Streaming Systems,Engineering,48,80.9,81.2,81.1,76.8,81.5,79.5,C,Trancado,0,withdraw,30-34,Tempo integral
S0023,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,32,86.4,53.7,73.8,67.1,80.9,66.8,D,Reprovado,0,low_grade,30-34,Tempo integral
S0023,2024.2,Campus A,Presencial,Feature Engineering,ML/AI,48,77.1,84.3,62.2,73.8,79.9,74.1,C,Aprovado,1,,30-34,Tempo integral
S0023,2024.2,Campus A,Online,Statistics for Data,Analytics,32,65.3,50.9,76.3,72.8,68.1,67.7,D,Reprovado,0,low_attendance,30-34,Tempo integral
S0024,2025.1,Campus B,Online,Data Engineering II,Engineering,48,72.2,79.8,82.0,65.0,77.9,74.3,C,Reprovado,0,low_attendance,30-34,Tempo integral
S0024,2024.2,Campus B,Presencial,Big Data & Spark,Engineering,48,84.0,81.6,66.3,93.2,79.8,82.2,B,Aprovado,1,,30-34,Tempo integral
S0024,2024.2,Campus B,Presencial,Streaming Systems,Engineering,48,92.2,62.2,67.8,78.5,98.4,73.7,C,Aprovado,1,,30-34,Tempo integral
S0024,2024.1,Campus B,Presencial,MLOps Foundations,ML/AI,48,100.0,77.8,75.0,81.1,96.1,80.3,B,Aprovado,1,,30-34,Tempo integral
S0024,2024.2,Campus B,Online,Feature Engineering,ML/AI,48,78.0,66.6,54.5,81.6,72.5,70.2,C,Aprovado,1,,30-34,Tempo integral
S0024,2024.1,Campus B,Presencial,Statistics for Data,Analytics,32,79.9,62.5,79.4,83.3,80.4,76.9,C,Aprovado,1,,30-34,Tempo integral
S0025,2024.2,Campus A,Híbrido,Data Engineering II,Engineering,48,98.7,80.0,67.5,77.4,100.0,77.9,C,Aprovado,1,,30-34,Tempo integral
S0025,2024.2,Campus A,Presencial,Big Data & Spark,Engineering,48,87.8,70.7,62.2,67.6,93.9,69.7,D,Reprovado,0,low_grade,30-34,Tempo integral
S0025,2025.1,Campus A,Híbrido,Streaming Systems,Engineering,32,71.1,67.2,86.6,75.4,82.7,76.9,C,Reprovado,0,low_attendance,30-34,Tempo integral
S0025,2025.1,Campus A,Presencial,MLOps Foundations,ML/AI,48,90.9,82.5,86.5,69.1,84.3,78.3,C,Aprovado,1,,30-34,Tempo integral
S0025,2025.1,Campus A,Presencial,Feature Engineering,ML/AI,32,76.0,47.2,78.7,100.0,75.9,79.1,C,Aprovado,1,,30-34,Tempo integral
S0025,2025.1,Campus A,Presencial,Statistics for Data,Analytics,64,95.4,71.0,69.8,82.2,93.9,77.5,C,Aprovado,1,,30-34,Tempo integral
S0026,2024.1,Campus A,Presencial,Data Engineering II,Engineering,32,76.6,90.8,76.6,79.7,75.5,81.3,B,Aprovado,1,,35-39,Meio período
S0026,2025.1,Campus A,Presencial,Big Data & Spark,Engineering,48,89.0,64.2,79.4,49.7,89.3,64.7,D,Reprovado,0,low_grade,35-39,Meio período
S0026,2024.2,Campus A,Presencial,Streaming Systems,Engineering,32,92.1,71.6,50.4,67.5,77.6,65.3,D,Reprovado,0,low_grade,35-39,Meio período
S0026,2024.2,Campus A,Presencial,MLOps Foundations,ML/AI,48,89.9,62.4,80.0,70.1,89.6,72.6,C,Aprovado,1,,35-39,Meio período
S0026,2024.1,Campus A,Online,Feature Engineering,ML/AI,64,69.4,68.1,69.6,68.9,70.9,69.1,D,Trancado,0,withdraw,35-39,Meio período
S0026,2024.2,Campus A,Híbrido,Statistics for Data,Analytics,48,75.7,51.6,81.9,78.0,87.2,73.3,C,Aprovado,1,,35-39,Meio período
S0027,2024.1,Campus A,Presencial,Data Engineering II,Engineering,32,92.4,84.1,69.1,52.1,89.7,68.1,D,Reprovado,0,low_grade,20-24,Desempregado
S0027,2024.1,Campus A,Presencial,Big Data & Spark,Engineering,32,90.9,71.8,80.0,76.2,86.1,77.0,C,Aprovado,1,,20-24,Desempregado
S0027,2025.1,Campus A,Presencial,Streaming Systems,Engineering,32,82.6,60.4,69.9,91.1,75.7,76.6,C,Aprovado,1,,20-24,Desempregado
S0027,2025.1,Campus A,Híbrido,MLOps Foundations,ML/AI,64,65.9,66.0,87.5,70.9,75.0,74.2,C,Reprovado,0,low_attendance,20-24,Desempregado
S0027,2025.1,Campus A,Presencial,Feature Engineering,ML/AI,64,100.0,65.7,82.9,79.0,100.0,78.8,C,Aprovado,1,,20-24,Desempregado
S0027,2024.2,Campus A,Presencial,Statistics for Data,Analytics,48,100.0,94.2,72.6,69.3,100.0,79.4,C,Aprovado,1,,20-24,Desempregado
S0028,2024.2,Campus B,Presencial,Data Engineering II,Engineering,32,93.8,88.9,70.6,73.6,95.2,78.8,C,Aprovado,1,,20-24,Desempregado
S0028,2024.1,Campus B,Presencial,Big Data & Spark,Engineering,32,79.9,79.3,88.7,62.5,77.4,74.7,C,Aprovado,1,,20-24,Desempregado
S0028,2024.2,Campus B,Online,Streaming Systems,Engineering,48,69.2,71.5,89.5,92.0,72.9,84.3,B,Reprovado,0,low_attendance,20-24,Desempregado
S0028,2024.1,Campus B,Presencial,MLOps Foundations,ML/AI,64,92.9,66.9,59.6,59.6,83.2,63.8,D,Reprovado,0,low_grade,20-24,Desempregado
S0028,2025.1,Campus B,Presencial,Feature Engineering,ML/AI,32,89.1,71.0,57.9,85.1,90.6,75.3,C,Aprovado,1,,20-24,Desempregado
S0028,2025.1,Campus B,Presencial,Statistics for Data,Analytics,48,89.7,84.6,69.3,81.9,93.3,80.6,B,Aprovado,1,,20-24,Desempregado
S0029,2025.1,Campus C,Presencial,Data Engineering II,Engineering,32,91.0,67.2,69.7,83.9,97.2,77.5,C,Aprovado,1,,25-29,Tempo integral
S0029,2024.2,Campus C,Presencial,Big Data & Spark,Engineering,48,87.2,78.8,51.9,82.5,89.1,74.6,C,Aprovado,1,,25-29,Tempo integral
